Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0386676,2020-08-22,2020-08-22,"Literally the best,most varied cast assembled on TV, especially in it's genre. Amazingly written, very sharp comedy ,intelligent commentary, unique style, characters and buildup. Dwight and Michael are easily the funniest TV characters. Very rewatchable.",The Office,https://www.imdb.com/title/tt0386676/,tvSeries,8.9,22,2005,Comedy,378337,2005-03-24,,,
2,tt0108778,2020-08-22,2020-08-22,"For many like me, this show is an introduction to Western/English entertainment, is very memorable and relatable. Super sweet, becomes a part of your life and obviously dominates pop culture. This too highly rewatchable.",Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",784702,1994-09-22,,,
3,tt0098904,2020-08-22,2020-08-22,"OG. For purists,better than friends. But since I watched it later, I've kept it at 3, superb cast. Kramer and Costanza are hilarious. ",Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.8,22,1989,Comedy,246887,1989-07-05,,,
4,tt0487831,2020-08-22,2020-08-22,As funny as British comedy gets. Roy and Moss rock.,The IT Crowd,https://www.imdb.com/title/tt0487831/,tvSeries,8.5,25,2006,Comedy,129538,2006-02-03,,,
5,tt2575988,2020-08-22,2020-08-22,Techies will love it. Very good ensemble of actors and realistic.,Silicon Valley,https://www.imdb.com/title/tt2575988/,tvSeries,8.5,28,2014,Comedy,122068,2014-04-06,,,
6,tt0096548,2020-08-22,2020-08-22,Comedic genius Mr.Bean aka Rowan Atkinson at his vintage best. ,Blackadder Goes Forth,https://www.imdb.com/title/tt0096548/,tvSeries,8.8,175,1989,"Comedy, War",47318,1989-09-28,,,
7,tt1439629,2020-08-22,2020-08-22,"Sweet, happening, community college based sitcom. Crazy at times but a fun ride with a great cast",Community,https://www.imdb.com/title/tt1439629/,tvSeries,8.5,22,2009,Comedy,205541,2009-09-17,,,
8,tt0237123,2020-08-22,2020-08-22,"Written by Steven Moffat, co writer of Sherlock, unfortunately only 4 season long",Coupling,https://www.imdb.com/title/tt0237123/,tvSeries,8.5,30,2000,"Comedy, Romance",42243,2000-05-12,,,
9,tt3526078,2020-08-22,2020-08-22,"Canadian sitcom. Very fresh and easy to watch, you'd run through it like a breeze. Dan Levy is awesome so is the guy playing Roland Schitt",Schitt's Creek,https://www.imdb.com/title/tt3526078/,tvSeries,8.4,22,2015,Comedy,41258,2015-01-13,,10,2020-08-01
10,tt0084988,2020-08-22,2020-08-22,"Again, Atkinson. A bit old but funny nevertheless",The Black Adder,https://www.imdb.com/title/tt0084988/,tvSeries,8.1,195,1982,Comedy,34952,1982-06-20,,,
11,tt1266020,2020-08-22,2020-08-22,"If you liked the office, you'd like this too, even if purely on sentiments.",Parks and Recreation,https://www.imdb.com/title/tt1266020/,tvSeries,8.6,22,2009,Comedy,203257,2009-04-09,,,
12,tt0898266,2020-08-22,2020-08-22,Sheldon Cooper. ,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.1,22,2007,"Comedy, Romance",700148,2006-05-01,,,
13,tt0106004,2020-08-22,2020-08-22,,Frasier,https://www.imdb.com/title/tt0106004/,tvSeries,8.0,22,1993,Comedy,71776,1993-09-16,,,
14,tt0165598,2020-08-22,2020-08-22,"Ashton Kutcher-Mila Kunis chemistry, very funny suburb family sitcom.",That '70s Show,https://www.imdb.com/title/tt0165598/,tvSeries,8.1,22,1998,"Comedy, Romance",151162,1998-08-23,,,
15,tt0098800,2020-08-22,2020-08-22,Will Smith being a genius.,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,tvSeries,7.9,22,1990,Comedy,117191,1990-09-10,,,
